Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-100.0,180.0,bottom
C1,87.5,-140.0,180.0,bottom
C2,87.5,-120.0,180.0,bottom
C3,87.5,-130.0,180.0,bottom
D1,99.98,-140.0,180.0,top
D2,99.98,-130.0,180.0,top
D3,99.98,-120.0,180.0,top
Q1,111.865,-158.77,270.0,bottom
Q2,111.865,-152.77,270.0,bottom
Q3,111.865,-146.77,270.0,bottom
R1,113.81,-140.0,0.0,top
R2,113.81,-130.0,0.0,top
R3,113.81,-120.0,0.0,top
R4,111.19,-135.0,0.0,bottom
R6,111.19,-125.0,0.0,bottom
R8,111.19,-115.0,0.0,bottom
SW1,100.0,-150.0,0.0,top
